Object,Time Step,Instance ID,Power Consumption
EdgeServer_1,89,1,190.74699999999999
EdgeServer_2,89,2,165.99599999999998
EdgeServer_3,89,3,66.9914
EdgeServer_4,89,4,66.9914
EdgeServer_5,89,5,74.50833333333334
EdgeServer_6,89,6,108.73333333333333
EdgeServer_1,90,1,178.37149999999997
EdgeServer_2,90,2,165.99599999999998
EdgeServer_3,90,3,66.9914
EdgeServer_4,90,4,66.9914
EdgeServer_5,90,5,74.50833333333334
EdgeServer_6,90,6,120.14166666666668
EdgeServer_1,91,1,190.74699999999999
EdgeServer_2,91,2,165.99599999999998
EdgeServer_3,91,3,66.9914
EdgeServer_4,91,4,66.9914
EdgeServer_5,91,5,74.50833333333334
EdgeServer_6,91,6,108.73333333333333
EdgeServer_1,92,1,178.37149999999997
EdgeServer_2,92,2,165.99599999999998
EdgeServer_3,92,3,66.9914
EdgeServer_4,92,4,66.9914
EdgeServer_5,92,5,74.50833333333334
EdgeServer_6,92,6,120.14166666666668
EdgeServer_1,93,1,178.37149999999997
EdgeServer_2,93,2,165.99599999999998
EdgeServer_3,93,3,66.9914
EdgeServer_4,93,4,66.9914
EdgeServer_5,93,5,74.50833333333334
EdgeServer_6,93,6,120.14166666666668
EdgeServer_1,94,1,178.37149999999997
EdgeServer_2,94,2,165.99599999999998
EdgeServer_3,94,3,66.9914
EdgeServer_4,94,4,66.9914
EdgeServer_5,94,5,74.50833333333334
EdgeServer_6,94,6,120.14166666666668
EdgeServer_1,95,1,178.37149999999997
EdgeServer_2,95,2,165.99599999999998
EdgeServer_3,95,3,66.9914
EdgeServer_4,95,4,66.9914
EdgeServer_5,95,5,74.50833333333334
EdgeServer_6,95,6,120.14166666666668
EdgeServer_1,96,1,178.37149999999997
EdgeServer_2,96,2,165.99599999999998
EdgeServer_3,96,3,66.9914
EdgeServer_4,96,4,66.9914
EdgeServer_5,96,5,74.50833333333334
EdgeServer_6,96,6,120.14166666666668
EdgeServer_1,97,1,178.37149999999997
EdgeServer_2,97,2,165.99599999999998
EdgeServer_3,97,3,66.9914
EdgeServer_4,97,4,66.9914
EdgeServer_5,97,5,74.50833333333334
EdgeServer_6,97,6,120.14166666666668
EdgeServer_1,98,1,178.37149999999997
EdgeServer_2,98,2,165.99599999999998
EdgeServer_3,98,3,66.9914
EdgeServer_4,98,4,66.9914
EdgeServer_5,98,5,74.50833333333334
EdgeServer_6,98,6,120.14166666666668
EdgeServer_1,99,1,178.37149999999997
EdgeServer_2,99,2,165.99599999999998
EdgeServer_3,99,3,66.9914
EdgeServer_4,99,4,66.9914
EdgeServer_5,99,5,74.50833333333334
EdgeServer_6,99,6,120.14166666666668
EdgeServer_1,100,1,178.37149999999997
EdgeServer_2,100,2,165.99599999999998
EdgeServer_3,100,3,66.9914
EdgeServer_4,100,4,66.9914
EdgeServer_5,100,5,74.50833333333334
EdgeServer_6,100,6,120.14166666666668
EdgeServer_1,101,1,190.74699999999999
EdgeServer_2,101,2,165.99599999999998
EdgeServer_3,101,3,66.9914
EdgeServer_4,101,4,66.9914
EdgeServer_5,101,5,74.50833333333334
EdgeServer_6,101,6,108.73333333333333
EdgeServer_1,102,1,178.37149999999997
EdgeServer_2,102,2,165.99599999999998
EdgeServer_3,102,3,66.9914
EdgeServer_4,102,4,66.9914
EdgeServer_5,102,5,74.50833333333334
EdgeServer_6,102,6,120.14166666666668
EdgeServer_1,103,1,178.37149999999997
EdgeServer_2,103,2,165.99599999999998
EdgeServer_3,103,3,66.9914
EdgeServer_4,103,4,66.9914
EdgeServer_5,103,5,74.50833333333334
EdgeServer_6,103,6,120.14166666666668
EdgeServer_1,104,1,190.74699999999999
EdgeServer_2,104,2,165.99599999999998
EdgeServer_3,104,3,66.9914
EdgeServer_4,104,4,66.9914
EdgeServer_5,104,5,74.50833333333334
EdgeServer_6,104,6,108.73333333333333
EdgeServer_1,105,1,178.37149999999997
EdgeServer_2,105,2,165.99599999999998
EdgeServer_3,105,3,66.9914
EdgeServer_4,105,4,66.9914
EdgeServer_5,105,5,74.50833333333334
EdgeServer_6,105,6,120.14166666666668
EdgeServer_1,106,1,178.37149999999997
EdgeServer_2,106,2,165.99599999999998
EdgeServer_3,106,3,66.9914
EdgeServer_4,106,4,66.9914
EdgeServer_5,106,5,74.50833333333334
EdgeServer_6,106,6,120.14166666666668
EdgeServer_1,107,1,178.37149999999997
EdgeServer_2,107,2,165.99599999999998
EdgeServer_3,107,3,66.9914
EdgeServer_4,107,4,66.9914
EdgeServer_5,107,5,74.50833333333334
EdgeServer_6,107,6,120.14166666666668
EdgeServer_1,108,1,190.74699999999999
EdgeServer_2,108,2,165.99599999999998
EdgeServer_3,108,3,66.9914
EdgeServer_4,108,4,66.9914
EdgeServer_5,108,5,74.50833333333334
EdgeServer_6,108,6,108.73333333333333
EdgeServer_1,109,1,190.74699999999999
EdgeServer_2,109,2,165.99599999999998
EdgeServer_3,109,3,66.9914
EdgeServer_4,109,4,66.9914
EdgeServer_5,109,5,74.50833333333334
EdgeServer_6,109,6,108.73333333333333
EdgeServer_1,110,1,190.74699999999999
EdgeServer_2,110,2,165.99599999999998
EdgeServer_3,110,3,66.9914
EdgeServer_4,110,4,66.9914
EdgeServer_5,110,5,74.50833333333334
EdgeServer_6,110,6,108.73333333333333
EdgeServer_1,111,1,178.37149999999997
EdgeServer_2,111,2,165.99599999999998
EdgeServer_3,111,3,66.9914
EdgeServer_4,111,4,66.9914
EdgeServer_5,111,5,74.50833333333334
EdgeServer_6,111,6,120.14166666666668
EdgeServer_1,112,1,178.37149999999997
EdgeServer_2,112,2,165.99599999999998
EdgeServer_3,112,3,66.9914
EdgeServer_4,112,4,66.9914
EdgeServer_5,112,5,74.50833333333334
EdgeServer_6,112,6,120.14166666666668
EdgeServer_1,113,1,178.37149999999997
EdgeServer_2,113,2,165.99599999999998
EdgeServer_3,113,3,66.9914
EdgeServer_4,113,4,66.9914
EdgeServer_5,113,5,74.50833333333334
EdgeServer_6,113,6,120.14166666666668
